Survivor Gender,Steam Player,Anonymous Mode,Prestige,Item,Map Area,Survivor BP,Killer BP,Result
F,Yes,Yes,8,Medkit,8704,12277,34887,Dead
M,Yes,No,3,Key,9984,19757,32908,Dead
M,No,No,12,Medkit,9984,16166,32908,Dead
M,No,No,17,None,9984,7196,32908,Dead
M,No,No,6,Medkit,9984,793,32908,Dead
F,Yes,No,14,None,9984,12016,28767,Dead
M,Yes,No,10,Flashlight,9984,11873,28767,Dead
F,No,No,32,Medkit,9984,7897,28767,Dead
M,Yes,No,24,Toolbox,9984,6371,28767,Dead
M,Yes,No,4,Medkit,8704,26135,38527,Dead
F,Yes,Yes,13,Medkit,8704,23853,38527,Dead
M,No,No,5,None,8704,21316,38527,Dead
F,Yes,No,12,Medkit,8704,17210,38527,Dead
